Sr_No,Pokemon,Type,Evolution_Method,Species,Generation,Alternative_Forms,Which_AF,AF_Type,Branched_Evo,Branched_Evo_Type,Other_Mechanics,Mechanics_Types,Height (m),Weight (kg),BMI,HP,Attack,Defence,Special_Attack,Special_Defence,Speed,Total,Ability,Special_Ability,Ability_AF,Special_Ability_AF,Height (m)_AF,Weight (kg)_AF,BMI_AF,HP_AF,Attack_AF,Defence_AF,Special_Attack_AF,Special_Defence_AF,Speed_AF,Total_AF
1,Bulbasaur,Grass / Poison,"Ivysaur (Lv - 16), Venusaur (Lv - 32), Mega Evo (Venusaurite)",Seed,1,NA,NA,NA,NA,NA,Mega-Evolution,Grass / Poison,0.7,6.9,14.08163265,45,49,49,65,65,45,318,Overgrow,Chlorophyll,NA,NA,0,0,0,0,0,0,0,0,0,0
2,Ivysaur,Grass / Poison,"Bulbasaur, Venusaur (Lv - 32), Mega Evo (Venusaurite)",Seed,1,NA,NA,NA,NA,NA,Mega-Evolution,Grass / Poison,1,13,13,60,62,63,80,80,60,405,Overgrow,Chlorophyll,NA,NA,0,0,0,0,0,0,0,0,0,0
3,Venusaur,Grass / Poison,"Bulbasaur, Ivysaur, Mega Evo (Venusaurite)",Seed,1,NA,NA,NA,NP,NP,"Mega-Evolution, Gigantimax",Grass / Poison,2,100,25,80,82,83,100,100,80,525,Overgrow,Chlorophyll,NA,NA,0,0,0,0,0,0,0,0,0,0
4,Charmander,Fire,"Charmeleon (Lv - 16), Charizard (Lv - 36), Mega Evo X (Charizardite X), Mega Evo Y (Charizardite Y)",Lizard,1,NA,NA,NA,NA,NA,Mega-Evolution,"Fire / Dragon, Fire / Flying",0.6,8.5,23.61111111,39,52,43,60,50,65,309,Blaze,Solar Power,NA,NA,0,0,0,0,0,0,0,0,0,0
5,Charmeleon,Fire,"Charmander, Charizard (Lv - 36), Mega Evo X (Charizardite X), Mega Evo Y (Charizardite Y)",Flame,1,NA,NA,NA,NA,NA,Mega-Evolution,"Fire / Dragon, Fire / Flying",1.1,19,15.70247934,58,64,58,80,65,80,405,Blaze,Solar Power,NA,NA,0,0,0,0,0,0,0,0,0,0
6,Charizard,Fire / Flying,"Charmander, Charmeleon, Mega Evo X, Mega Evo Y",Flame,1,NA,NA,NA,NP,NP,"Mega-Evolution, Gigantimax","Fire / Dragon, Fire / Flying",1.7,90.5,31.31487889,78,84,78,109,85,100,534,Blaze,Solar Power,NA,NA,0,0,0,0,0,0,0,0,0,0
7,Squirtle,Water,"Wartortle, Blastoise, Mega Evo",Tiny Turtle,1,NA,NA,NA,NA,NA,Mega-Evolution,Water,0.5,9,36,44,48,65,50,64,43,314,Torrent,Rain Dish,NA,NA,0,0,0,0,0,0,0,0,0,0
8,Wartortle,Water,"Squirtle, Blastoise, Mega Evo",Turtle,1,NA,NA,NA,NA,NA,Mega-Evolution,Water,1,22.5,22.5,59,63,80,65,80,58,405,Torrent,Rain Dish,NA,NA,0,0,0,0,0,0,0,0,0,0
9,Blastoise,Water,"Squirtle, Wartortle, Mega Evo",Shellfish,1,NA,NA,NA,NP,NP,"Mega-Evolution, Gigantimax",Water,1.6,85.5,33.3984375,79,83,100,85,105,78,530,Torrent,Rain Dish,NA,NA,0,0,0,0,0,0,0,0,0,0
10,Caterpie,Bug,"Metapod, Butterfree",Worm,1,NA,NA,NA,NA,NA,NA,NA,0.3,2.9,32.22222222,45,30,35,20,20,45,195,Shield Dust,Run Away,NA,NA,0,0,0,0,0,0,0,0,0,0
11,Metapod,Bug,"Caterpie, Butterfree",Cocoon,1,NA,NA,NA,NA,NA,NA,NA,0.7,9.9,20.20408163,50,20,55,25,25,30,205,Shed Skin,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
12,Butterfree,Bug / Flying,"Caterpie, Metapod",Butterfly,1,NA,NA,NA,NP,NP,Gigantimax,NA,1.1,32,26.44628099,60,45,50,90,80,70,395,Compound Eyes,Tinted Lens,NA,NA,0,0,0,0,0,0,0,0,0,0
13,Weedle,Bug / Poison,"Kakuna, Beedrill, Mega Evo",Hairy Bug,1,NA,NA,NA,NA,NA,Mega-Evolution,Bug / Poison,0.3,3.2,35.55555556,40,35,30,20,20,50,195,Shield Dust,Run Away,NA,NA,0,0,0,0,0,0,0,0,0,0
14,Kakuna,Bug / Poison,"Weedle, Beedrill, Mega Evo",Cocoon,1,NA,NA,NA,NA,NA,Mega-Evolution,Bug / Poison,0.6,10,27.77777778,45,25,50,25,25,35,205,Shed Skin,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
15,Beedrill,Bug / Poison,"Weedle, Kakuna, Mega Evo",Poison Bee,1,NA,NA,NA,NP,NP,Mega-Evolution,Bug / Poison,1,29.5,29.5,65,90,40,45,80,75,395,Swarm,Sniper,NA,NA,0,0,0,0,0,0,0,0,0,0
16,Pidgey,Normal / Flying,"Pidgeotto, Pidgeot, Mega Evo",Tiny Bird,1,NA,NA,NA,NA,NA,Mega-Evolution,Normal / Flying,0.3,1.8,20,40,45,40,35,35,56,251,"Keen Eye, Tangled Feet",Big Pecks,NA,NA,0,0,0,0,0,0,0,0,0,0
17,Pidgeotto,Normal / Flying,"Pidgey, Pidgeot, Mega Evo",Bird,1,NA,NA,NA,NA,NA,Mega-Evolution,Normal / Flying,1.1,30,24.79338843,63,60,55,50,50,71,349,"Keen Eye, Tangled Feet",Big Pecks,NA,NA,0,0,0,0,0,0,0,0,0,0
18,Pidgeot,Normal / Flying,"Pidgey, Pidgeotto, Mega Evo",Bird,1,NA,NA,NA,NP,NP,Mega-Evolution,Normal / Flying,1.5,39.5,17.55555556,83,80,75,70,70,101,479,"Keen Eye, Tangled Feet",Big Pecks,NA,NA,0,0,0,0,0,0,0,0,0,0
19,Rattata,Normal,Raticate,Mouse,1,Yes,Alolan,Dark / Normal,NA,NA,NA,NA,0.3,3.5,38.88888889,30,56,35,25,35,72,253,"Run Away, Guts",Hustle,"Gluttony, Hustle",Thick Fat,0.3,3.8,42.22222222,30,56,35,25,35,72,253
20,Raticate,Normal,Rattata,Mouse,1,Yes,Alolan,Dark / Normal,NP,NP,NA,NA,0.7,25.5,52.04081633,55,81,60,50,70,97,413,"Run Away, Guts",Hustle,"Gluttony, Hustle",Thick Fat,0.7,25.5,52.04081633,75,71,70,40,80,77,413
21,Spearow,Normal / Flying,Fearow,Tiny Bird,1,NA,NA,NA,NA,NA,NA,NA,0.3,2,22.22222222,40,60,30,31,31,70,262,Keen Eye,Sniper,NA,NA,0,0,0,0,0,0,0,0,0,0
22,Fearow,Normal / Flying,Spearow,Beak,1,NA,NA,NA,NP,NP,NA,NA,1.2,38,26.38888889,65,90,65,61,61,100,442,Keen Eye,Sniper,NA,NA,0,0,0,0,0,0,0,0,0,0
23,Ekans,Poison,Arbok,Snake,1,NA,NA,NA,NA,NA,NA,NA,2,6.9,1.725,35,60,44,40,54,55,288,"Intimidate, Shed Skin",Unnerve,NA,NA,0,0,0,0,0,0,0,0,0,0
24,Arbok,Poison,Ekans,Cobra,1,NA,NA,NA,NP,NP,NA,NA,3.5,65,5.306122449,60,95,69,65,79,80,448,"Intimidate, Shed Skin",Unnerve,NA,NA,0,0,0,0,0,0,0,0,0,0
25,Pikachu,Electric,"Pichu, Raichu (Thunder Stone), Mega Evo X (Raichunite X), Mega Evo Y (Raichunite Y)",Mouse,1,Yes,Partner,Electric,Alolan Raichu,Electric / Psychic,"Mega-Evolution, Gigantimax",Electric,0.4,6,37.5,35,55,40,50,50,90,320,Static,Lightning Rod,NA,NA,0.4,6,37.5,45,80,50,75,60,120,430
26,Raichu,Electric,"Pichu, Pikachu, Mega Evo X (Raichunite X), Mega Evo Y (Raichunite Y)",Mouse,1,Yes,Alolan,Electric / Psychic,NP,NP,Mega-Evolution,Electric,0.8,30,46.875,60,90,55,90,80,110,485,Static,Lightning Rod,Surge Surfer,NA,0.7,21,42.85714286,60,85,50,95,85,110,485
27,Sandshrew,Ground,Sandslash,Mouse,1,Yes,Alolan,Ice / Steel,NA,NA,NA,NA,0.6,12,33.33333333,50,75,85,20,30,40,300,Sand Veil,Sand Rush,Snow Cloak,Slush Rush,0.7,40,81.63265306,50,75,90,10,35,40,300
28,Sandslash,Ground,Sandshrew,Mouse,1,Yes,Alolan,Ice / Steel,NP,NP,NA,NA,1,29.5,29.5,75,100,110,45,55,65,450,Sand Veil,Sand Rush,Snow Cloak,Slush Rush,1.2,55,38.19444444,75,100,120,25,65,65,450
29,Nidoran_Fe,Poison,"Nidorina, Nidoqueen",Poison Pin,1,NA,NA,NA,NA,NA,NA,NA,0.4,7,43.75,55,47,52,40,40,41,275,"Poison Point, Rivalry",Hustle,NA,NA,0,0,0,0,0,0,0,0,0,0
30,Nidorina,Poison,"Nidoran_Fe, Nidoqueen",Poison Pin,1,NA,NA,NA,NA,NA,NA,NA,0.8,20,31.25,70,62,67,55,55,56,365,"Poison Point, Rivalry",Hustle,NA,NA,0,0,0,0,0,0,0,0,0,0
31,Nidoqueen,Poison / Ground,"Nidoran_Fe, Nidorina",Drill,1,NA,NA,NA,NP,NP,NA,NA,1.3,60,35.50295858,90,92,87,75,85,76,505,"Poison Point, Rivalry",Sheer Force,NA,NA,0,0,0,0,0,0,0,0,0,0
32,Nidoran_Ma,Poison,"Nidorino, Nidoking",Poison Pin,1,NA,NA,NA,NA,NA,NA,NA,0.5,9,36,46,57,40,40,40,50,273,"Poison Point, Rivalry",Hustle,NA,NA,0,0,0,0,0,0,0,0,0,0
33,Nidorino,Poison,"Nidoran_Ma, Nidoking",Poison Pin,1,NA,NA,NA,NA,NA,NA,NA,0.9,19.5,24.07407407,61,72,57,55,55,65,365,"Poison Point, Rivalry",Hustle,NA,NA,0,0,0,0,0,0,0,0,0,0
34,Nidoking,Poison / Ground,"Nidoran_Ma, Nidorino",Drill,1,NA,NA,NA,NP,NP,NA,NA,1.4,62,31.63265306,81,102,77,85,75,85,505,"Poison Point, Rivalry",Sheer Force,NA,NA,0,0,0,0,0,0,0,0,0,0
35,Clefairy,Fairy,"Cleffa, Clefable (Moon Stone), Mega Evo (Clefablite)",Fairy,1,NA,NA,NA,NA,NA,Mega-Evolution,Fairy / Flying,0.6,7.5,20.83333333,70,45,48,60,65,35,323,"Cute Charm, Magic Guard",Friend Guard,NA,NA,0,0,0,0,0,0,0,0,0,0
36,Clefable,Fairy,"Cleffa, Clefairy, Mega Evo (Clefablite)",Fairy,1,NA,NA,NA,NP,NP,Mega-Evolution,Fairy / Flying,1.3,40,23.66863905,95,70,73,95,90,60,483,"Cute Charm, Magic Guard",Unaware,NA,NA,0,0,0,0,0,0,0,0,0,0
37,Vulpix,Fire,Ninetales,Fox,1,Yes,Alolan,Ice,NA,NA,NA,NA,0.6,9.9,27.5,38,41,40,50,65,65,299,Flash Fire,Drought,Snow Cloak,Snow Warning,0.6,9.9,27.5,38,41,40,50,65,65,299
38,Ninetales,Fire,Vulpix,Fox,1,Yes,Alolan,Ice / Fairy,NP,NP,NA,NA,1.1,19.9,16.44628099,73,76,75,81,100,100,505,Flash Fire,Drought,Snow Cloak,Snow Warning,1.1,19.9,16.44628099,73,67,75,81,100,109,505
39,Jigglypuff,Normal / Fairy,"Igglybuff, Wigglytuff (Moon Stone)",Ballon,1,Yes,Paradox - Scream Tail (Ancient),Fairy / Psychic,NA,NA,NA,NA,0.5,5.5,22,115,45,20,45,25,20,270,"Cute Charm, Competitive",Friend Guard,Protosynthesis,NA,1.2,8,5.555555556,115,65,99,65,115,111,570
40,Wigglytuff,Normal / Fairy,"Igglybuff, Jigglypuff",Ballon,1,NA,NA,NA,NP,NP,NA,NA,1,12,12,140,70,45,85,50,45,435,"Cute Charm, Competitive",Frisk,NA,NA,0,0,0,0,0,0,0,0,0,0
41,Zubat,Poison / Flying,"Golbat (Lv - 22), Crobat (Friendship)",Bat,1,NA,NA,NA,NA,NA,NA,NA,0.8,7.5,11.71875,40,45,35,30,40,55,245,Inner Focus,Infiltrator,NA,NA,0,0,0,0,0,0,0,0,0,0
42,Golbat,Poison / Flying,"Zubat, Crobat (Friendship)",Bat,1,NA,NA,NA,NA,NA,NA,NA,1.6,55,21.484375,75,80,70,65,75,90,455,Inner Focus,Infiltrator,NA,NA,0,0,0,0,0,0,0,0,0,0
43,Oddish,Grass / Poison,"Gloom, Vileplume, Bellossom",Weed,1,NA,NA,NA,Bellossom,Grass,NA,NA,0.5,5.4,21.6,45,50,55,75,65,30,320,Chlorophyll,Run Away,NA,NA,0,0,0,0,0,0,0,0,0,0
44,Gloom,Grass / Poison,"Oddish, Vileplume, Bellossom",Weed,1,NA,NA,NA,Bellossom,Grass,NA,NA,0.8,8.6,13.4375,60,65,70,85,75,40,395,Chlorophyll,Stench,NA,NA,0,0,0,0,0,0,0,0,0,0
45,Vileplume,Grass / Poison,"Oddish, Gloom, Bellossom",Flower,1,NA,NA,NA,NP,NP,NA,NA,1.2,18.6,12.91666667,75,80,85,110,90,50,490,Chlorophyll,Effect Spore,NA,NA,0,0,0,0,0,0,0,0,0,0
46,Paras,Bug / Grass,Parasect,Mushroom,1,NA,NA,NA,NA,NA,NA,NA,0.3,5.4,60,35,70,55,45,55,25,285,"Effect Spore, Dry Skin",Damp,NA,NA,0,0,0,0,0,0,0,0,0,0
47,Parasect,Bug / Grass,Paras,Mushroom,1,NA,NA,NA,NP,NP,NA,NA,1,29.5,29.5,60,95,80,60,80,30,405,"Effect Spore, Dry Skin",Damp,NA,NA,0,0,0,0,0,0,0,0,0,0
48,Venonat,Bug / Poison,Venomoth,Insect,1,NA,NA,NA,NA,NA,NA,NA,1,30,30,60,55,50,40,55,45,305,"Compound Eyes, Tinted Lens",Run Away,NA,NA,0,0,0,0,0,0,0,0,0,0
49,Venomoth,Bug / Poison,Venonat,Poison Moth,1,NA,NA,NA,NP,NP,NA,NA,1.5,12.5,5.555555556,70,65,60,90,75,90,450,"Shield Dust, Tinted Lens",Wonder Skin,NA,NA,0,0,0,0,0,0,0,0,0,0
50,Diglett,Ground,Dugtrio,Mole,1,Yes,Alolan,Ground / Steel,NA,NA,NA,NA,0.2,0.8,20,10,55,25,35,45,95,265,"Sand Veil, Arena Trap",Sand Force,"Sand Veil, Tangling Hair",Sand Force,0.2,1,25,10,55,30,35,45,90,265
51,Dugtrio,Ground,Diglett,Mole,1,Yes,Alolan,Ground / Steel,NP,NP,NA,NA,0.7,33.3,67.95918367,35,100,50,50,70,120,425,"Sand Veil, Arena Trap",Sand Force,"Sand Veil, Tangling Hair",Sand Force,0.7,66.6,135.9183673,35,100,60,50,70,110,425
52,Meowth,Normal,Persian,Scratch Cat,1,Yes,Alolan,Dark ,NA,NA,Gigantimax,NA,0.4,4.2,26.25,40,45,35,40,40,90,290,"Pickup, Technician",Unnerve,"Pickup, Technician",Rattled,0.4,4.2,26.25,40,35,35,50,40,90,290
53,Persian,Normal,Meowth,Classy Cat,1,Yes,Alolan,Dark,NP,NP,NA,NA,1,32,32,65,70,60,65,65,115,440,"Limber, Technician",Unnerve,"Fur Coat, Technician",Rattled,1.1,33,27.27272727,65,60,60,75,65,115,440
54,Meowth,Normal,Perrserker,Scratch Cat,1,Yes,Galarian,Steel,NA,NA,NA,NA,0.4,4.2,26.25,40,45,35,40,40,90,290,"Pickup, Technician",Unnerve,"Pickup, Touch Claws",Unnerve,0.4,7.5,46.875,50,65,55,40,40,40,290
55,Psyduck,Water,Golduck,Duck,1,NA,NA,NA,NA,NA,NA,NA,0.8,19.6,30.625,50,52,48,65,50,55,320,"Damp, Cloud Nine",Swift Swim,NA,NA,0,0,0,0,0,0,0,0,0,0
56,Golduck,Water,Psyduck,Duck,1,NA,NA,NA,NA,NA,NA,NA,1.7,76.6,26.50519031,80,82,78,95,80,85,500,"Damp, Cloud Nine",Swift Swim,NA,NA,0,0,0,0,0,0,0,0,0,0
57,Mankey,Fighting,"Primeape, Annihilape",Pig Mankey,1,NA,NA,NA,NA,NA,NA,NA,0.5,28,112,40,80,35,35,45,70,305,"Vital Spirit, Anger Point",Defiant,NA,NA,0,0,0,0,0,0,0,0,0,0
58,Primeape,Fighting,"Mankey, Annihilape",Pig Mankey,1,NA,NA,NA,NA,NA,NA,NA,1,32,32,65,105,60,60,70,95,455,"Vital Spirit, Anger Point",Defiant,NA,NA,0,0,0,0,0,0,0,0,0,0
59,Growlithe,Fire,Arcanine,Puppy,1,Yes,Hisuian,Fire / Rock,NA,NA,NA,NA,0.7,19,38.7755102,55,70,45,70,50,60,350,"Intimidate, Flash Fire",Justified,"Intimidate, Flash Fire",Rock Head,0.8,22.7,35.46875,60,75,45,65,50,55,350
60,Arcanine,Fire,Growlithe,Legendary,1,Yes,Hisuian,Fire / Rock,NP,NP,NA,NA,1.9,155,42.93628809,90,110,80,100,80,95,555,"Intimidate, Flash Fire",Justified,"Intimidate, Flash Fire",Rock Head,2,168,42,95,115,80,95,80,90,555
61,Poliwag,Water,"Poliwhirl, Poliwrath, Politoed",Tadpole,1,NA,NA,NA,Politoed,Water,NA,NA,0.6,12.4,34.44444444,40,50,40,40,40,90,300,"Water Absorb, Damp",Swift Swim,NA,NA,0,0,0,0,0,0,0,0,0,0
62,Poliwhirl,Water,"Poliwag, Poliwrath, Politoed",Tadpole,1,NA,NA,NA,Politoed,Water,NA,NA,1,20,20,65,65,65,50,50,90,385,"Water Absorb, Damp",Swift Swim,NA,NA,0,0,0,0,0,0,0,0,0,0
63,Poliwrath,Water / Fighting,"Poliwag, Poliwhirl, Politoed",Tadpole,1,NA,NA,NA,NP,NP,NA,NA,1.3,54,31.95266272,90,95,95,70,90,70,510,"Water Absorb, Damp",Swift Swim,NA,NA,0,0,0,0,0,0,0,0,0,0
64,Abra,Psychic,"Kadabra, Alakazam, Mega Evo",Psi,1,NA,NA,NA,NA,NA,Mega-Evolution,Psychic,0.9,19.5,24.07407407,25,20,15,105,55,90,310,"Synchronize, Inner Focus",Magic Guard,NA,NA,0,0,0,0,0,0,0,0,0,0
65,Kadabra,Psychic,"Abra, Alakazam, Mega Evo",Psi,1,NA,NA,NA,NA,NA,Mega-Evolution,Psychic,1.3,56.5,33.43195266,40,35,30,120,70,105,400,"Synchronize, Inner Focus",Magic Guard,NA,NA,0,0,0,0,0,0,0,0,0,0
66,Alakazam,Psychic,"Abra, Kadabra, Mega Evo",Psi,1,NA,NA,NA,NP,NP,Mega-Evolution,Psychic,1.5,48,21.33333333,55,50,45,135,95,120,500,"Synchronize, Inner Focus",Magic Guard,NA,NA,0,0,0,0,0,0,0,0,0,0
67,Machop,Fighting,"Machoke, Machamp",Superpower,1,NA,NA,NA,NA,NA,NA,NA,0.8,19.5,30.46875,70,80,50,35,35,35,305,"Guts, No Guard",Steadfast,NA,NA,0,0,0,0,0,0,0,0,0,0
68,Machoke,Fighting,"Machop, Machamp",Superpower,1,NA,NA,NA,NA,NA,NA,NA,1.5,70.5,31.33333333,80,100,70,50,60,45,405,"Guts, No Guard",Steadfast,NA,NA,0,0,0,0,0,0,0,0,0,0
69,Machamp,Fighting,"Machop, Machoke",Superpower,1,NA,NA,NA,NP,NP,Gigantimax,NA,1.6,130,50.78125,90,130,80,65,85,55,505,"Guts, No Guard",Steadfast,NA,NA,0,0,0,0,0,0,0,0,0,0
