process_name,window_title,activity_type,activity_context,started_at,ended_at,duration_seconds
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-08-17T17:23:23.721385,2026-08-17T17:23:25.723048,2
explorer.exe,,file_management,,2026-08-17T17:23:25.723048,2026-08-17T17:23:28.728443,3
steamwebhelper.exe,Launching...,general_activity,Launching...,2026-08-17T17:23:28.728443,2026-08-17T17:23:30.732692,2
explorer.exe,,file_management,,2026-08-17T17:23:30.732692,2026-08-17T17:23:31.752695,1
chrome.exe,Google Chrome,web_browsing,Google Chrome,2026-08-17T17:23:31.752695,2026-08-17T17:23:35.784657,4
chrome.exe,Career Center | TOPS Technologies - Google Chrome,web_browsing,Career Center | TOPS Technologies - Google Chrome,2026-08-17T17:23:35.784657,2026-08-17T17:23:39.828601,4
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-08-17T17:23:39.828601,2026-08-17T17:23:58.875095,19
mysql.exe,MySQL 8.0 Command Line Client,general_activity,MySQL 8.0 Command Line Client,2026-08-17T17:23:58.875095,2026-08-17T17:24:03.889489,5
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-08-17T17:24:03.889489,2026-08-17T17:24:09.900162,6
chrome.exe,Career Center | TOPS Technologies - Google Chrome,web_browsing,Career Center | TOPS Technologies - Google Chrome,2026-08-17T17:24:09.900162,2026-08-17T17:24:11.920684,2
TransportFever2.exe,Transport Fever 2,general_activity,Transport Fever 2,2026-08-17T17:24:11.920684,2026-08-17T17:24:27.116445,15.2
explorer.exe,,file_management,,2026-08-17T17:24:27.116445,2026-08-17T17:24:32.139450,5
chrome.exe,Career Center | TOPS Technologies - Google Chrome,web_browsing,Career Center | TOPS Technologies - Google Chrome,2026-08-17T17:24:32.139450,2026-08-17T17:24:34.200194,2.1
explorer.exe,,file_management,,2026-08-17T17:24:34.200194,2026-08-17T17:24:35.270556,1.1
mysql.exe,MySQL 8.0 Command Line Client,general_activity,MySQL 8.0 Command Line Client,2026-08-17T17:24:35.270556,2026-08-17T17:24:39.319975,4
explorer.exe,,file_management,,2026-08-17T17:24:39.319975,2026-08-17T17:24:41.364078,2
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-08-17T17:24:41.364078,2026-08-17T17:24:45.881235,4.5
explorer.exe,,file_management,,2026-08-17T17:24:45.881235,2026-08-17T17:24:50.033061,4.2
citra-qt.exe,Citra 608383e,gaming,Citra 608383e,2026-08-17T17:24:50.033061,2026-08-17T17:24:54.066254,4
explorer.exe,,file_management,,2026-08-17T17:24:54.066254,2026-08-17T17:25:01.197593,7.1
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-08-17T17:25:01.197593,2026-08-17T17:25:08.468492,7.3
explorer.exe,logs,file_management,logs,2026-08-17T17:25:08.468492,2026-08-17T17:25:09.509751,1
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-08-17T17:25:09.509751,2026-08-17T17:25:11.686780,2.2
explorer.exe,,file_management,,2026-08-17T17:25:11.686780,2026-08-17T17:25:12.965483,1.3
explorer.exe,File Explorer,file_management,File Explorer,2026-08-17T17:25:12.965483,2026-08-17T17:25:18.265432,5.3
explorer.exe,New Volume (E:),file_management,New Volume (E:),2026-08-17T17:25:18.265432,2026-08-17T17:25:25.448449,7.2
TransportFever2.exe,Transport Fever 2,general_activity,Transport Fever 2,2026-08-17T17:25:25.448449,2026-08-17T17:26:01.825540,36.4
explorer.exe,Course,file_management,Course,2026-08-17T17:26:01.825540,2026-08-17T17:26:05.847421,4
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-08-17T17:26:05.847421,2026-08-17T17:26:08.852538,3
blender.exe,(Unsaved) - Blender 4.2.3 LTS,general_activity,(Unsaved) - Blender 4.2.3 LTS,2026-08-17T17:26:08.852538,2026-08-17T17:26:09.857257,1
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-08-17T17:26:09.857257,2026-08-17T17:26:12.894722,3
Photoshop.exe,Adobe Photoshop 2025,general_activity,Adobe Photoshop 2025,2026-08-17T17:26:12.894722,2026-08-17T17:26:15.909599,3
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-08-17T17:26:15.909599,2026-08-17T17:26:16.917162,1
explorer.exe,Course,file_management,Course,2026-08-17T17:26:16.917162,2026-08-17T17:26:18.924565,2
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-08-17T17:26:18.924565,2026-08-17T17:26:19.928362,1
citra-qt.exe,Citra 608383e,gaming,Citra 608383e,2026-08-17T17:26:19.928362,2026-08-17T17:26:20.932505,1
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-08-17T17:26:20.932505,2026-08-17T17:26:24.939080,4
explorer.exe,,file_management,,2026-08-17T17:26:24.939080,2026-08-17T17:26:27.948410,3
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-08-17T17:26:27.948410,2026-08-17T17:26:43.983490,16
explorer.exe,,file_management,,2026-08-17T17:26:43.983490,2026-08-17T17:26:44.991297,1
powershell.exe,Administrator: Windows PowerShell (x86),terminal_activity,Administrator: Windows PowerShell (x86),2026-08-17T17:26:44.991297,2026-08-17T17:26:47.997866,3
explorer.exe,,file_management,,2026-08-17T17:26:47.997866,2026-08-17T17:26:55.010933,7
PAD.Console.Host.exe,Power Automate,general_activity,Power Automate,2026-08-17T17:26:55.010933,2026-08-17T17:26:59.029193,4
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-08-17T17:26:59.029193,2026-08-17T17:27:03.040537,4
PAD.Console.Host.exe,Power Automate,general_activity,Power Automate,2026-08-17T17:27:03.040537,2026-08-17T17:27:05.050146,2
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-08-17T17:27:05.050146,2026-08-17T17:27:07.055807,2
explorer.exe,,file_management,,2026-08-17T17:27:07.055807,2026-08-17T17:27:11.094184,4
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-08-17T17:27:11.094184,2026-08-17T17:27:18.110860,7
studio64.exe,StockCommandArena – MainActivity.kt [StockCommandArena.app.main],general_activity,StockCommandArena – MainActivity.kt [StockCommandArena.app.main],2026-08-17T17:27:18.110860,2026-08-17T17:27:22.488849,4.4
studio64.exe,Confirm Exit,general_activity,Confirm Exit,2026-08-17T17:27:22.488849,2026-08-17T17:27:24.579696,2.1
studio64.exe,StockCommandArena – MainActivity.kt [StockCommandArena.app.main],general_activity,StockCommandArena – MainActivity.kt [StockCommandArena.app.main],2026-08-17T17:27:24.579696,2026-08-17T17:27:30.649091,6.1
explorer.exe,,file_management,,2026-08-17T17:27:30.649091,2026-08-17T17:27:37.670496,7
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-08-17T17:27:37.670496,2026-08-17T17:27:40.684627,3
studio64.exe,StockCommandArena – MainActivity.kt [StockCommandArena.app.main],general_activity,StockCommandArena – MainActivity.kt [StockCommandArena.app.main],2026-08-17T17:27:40.684627,2026-08-17T17:27:44.706167,4
studio64.exe,Confirm Exit,general_activity,Confirm Exit,2026-08-17T17:27:44.706167,2026-08-17T17:27:45.719971,1
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-08-17T17:27:45.719971,2026-08-17T17:27:51.734527,6
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-09-05T22:29:35.112547,2026-09-05T22:30:03.158428,28.0
explorer.exe,,file_management,,2026-09-05T22:30:03.158428,2026-09-05T22:30:12.186696,9.0
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-09-05T22:30:12.186696,2026-09-05T22:30:21.327026,9.1
explorer.exe,File Explorer,file_management,File Explorer,2026-09-05T22:30:21.327026,2026-09-05T22:30:26.432678,5.1
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,observer.py - LaptopGuardian - Visual Studio Code [Administrator],2026-09-05T22:30:26.432678,2026-09-05T22:31:17.561385,51.1
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,Visual Studio Code,2026-09-07T09:02:58.810775,2026-09-07T09:03:04.817284,6.0
explorer.exe,,file_management,Microsoft® Windows® Operating System,2026-09-07T09:03:04.817284,2026-09-07T09:03:05.826933,1.0
AnsysFWW.exe,,general_activity,Ansys Workbench Products,2026-09-07T09:03:05.826933,2026-09-07T09:03:06.840703,1.0
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,Visual Studio Code,2026-09-07T09:03:06.840703,2026-09-07T09:03:28.869907,22.0
AnsysFWW.exe,,general_activity,Ansys Workbench Products,2026-09-07T09:03:28.869907,2026-09-07T09:03:31.891195,3.0
AnsysFWW.exe,Unsaved Project - Workbench,general_activity,Ansys Workbench Products,2026-09-07T09:03:31.891195,2026-09-07T09:03:34.900462,3.0
AnsysFWW.exe,Unsaved Project - Workbench,general_activity,Ansys Workbench Products,2026-09-07T09:03:34.900462,2026-09-07T09:03:36.914770,2.0
explorer.exe,,file_management,Microsoft® Windows® Operating System,2026-09-07T09:03:36.914770,2026-09-07T09:03:38.927306,2.0
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,Visual Studio Code,2026-09-07T09:03:38.927306,2026-09-07T09:03:46.953324,8.0
explorer.exe,,file_management,Microsoft® Windows® Operating System,2026-09-07T09:03:46.953324,2026-09-07T09:03:50.968796,4.0
Edge.exe,,general_activity,Solid Edge,2026-09-07T09:03:50.968796,2026-09-07T09:03:58.991354,8.0
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,Visual Studio Code,2026-09-07T09:03:58.991354,2026-09-07T09:04:15.026485,16.0
Edge.exe,Solid Edge 2026,general_activity,Solid Edge,2026-09-07T09:04:15.026485,2026-09-07T09:04:16.036134,1.0
explorer.exe,,file_management,Microsoft® Windows® Operating System,2026-09-07T09:04:16.036134,2026-09-07T09:04:22.049853,6.0
steamwebhelper.exe,Launching...,general_activity,Steam Client WebHelper,2026-09-07T09:04:22.049853,2026-09-07T09:04:27.078375,5.0
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,Visual Studio Code,2026-09-07T09:04:27.078375,2026-09-07T09:04:32.089762,5.0
steamwebhelper.exe,Launching...,general_activity,Steam Client WebHelper,2026-09-07T09:04:32.089762,2026-09-07T09:04:36.103046,4.0
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,Visual Studio Code,2026-09-07T09:04:36.103046,2026-09-07T09:04:38.117515,2.0
steamwebhelper.exe,Launching...,general_activity,Steam Client WebHelper,2026-09-07T09:04:38.117515,2026-09-07T09:04:41.128073,3.0
steamwebhelper.exe,Install,general_activity,Steam Client WebHelper,2026-09-07T09:04:41.128073,2026-09-07T09:04:47.149442,6.0
steamwebhelper.exe,Steam,general_activity,Steam Client WebHelper,2026-09-07T09:04:47.149442,2026-09-07T09:04:48.159935,1.0
steamwebhelper.exe,Launching...,general_activity,Steam Client WebHelper,2026-09-07T09:04:48.159935,2026-09-07T09:04:51.174172,3.0
explorer.exe,,file_management,Microsoft® Windows® Operating System,2026-09-07T09:04:51.174172,2026-09-07T09:04:59.194618,8.0
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,Visual Studio Code,2026-09-07T09:04:59.194618,2026-09-07T09:05:07.213279,8.0
Paradox Launcher.exe,Cities: Skylines II,general_activity,Paradox Launcher,2026-09-07T09:05:07.213279,2026-09-07T09:05:09.228580,2.0
Code.exe,observer.py - LaptopGuardian - Visual Studio Code [Administrator],programming,Visual Studio Code,2026-09-07T09:05:09.228580,2026-09-07T09:05:12.240638,3.0
